600,0.157177325536,0.835546836374738, 0.3840276934313294
1200,0.189389876395,0.8478037645848466, 0.3714199032101939
1800,0.192324431053,0.8577386860042353, 0.3620693768323007
2400,0.160242700946,0.8472045317102506, 0.3691395008611844
3000,0.160390923832,0.8527423170061149, 0.36349283847972363
3600,0.151615221892,0.8511478553689615, 0.36207787509250483
4200,0.148608356193,0.8562371036528631, 0.3528829203063919
4800,0.147979204425,0.8557804938740139, 0.3526135751495695
5400,0.147911227702,0.857527074887659, 0.3570252839434414
6000,0.147826949153,0.8637921098066185, 0.3462358652963004
