600,0.0692326868128,0.8204485862336234, 0.32327731311432195
1200,0.039144380313,0.8281170946257468, 0.32531911346844944
1800,0.0311208770512,0.8306309417138752, 0.3267913862486168
2400,0.0267458442029,0.8321112183645321, 0.32785351945975816
3000,0.0239103195395,0.8331160928319098, 0.32867432068027364
3600,0.0218949247005,0.8338129326737558, 0.32935855290429533
4200,0.0203888288863,0.8342291604492245, 0.3299948764300473
4800,0.0192713783371,0.8340938658523958, 0.33082059235666816
5400,0.0199470424003,0.8243851950352351, 0.33720169164703817
6000,0.0149709406443,0.8313851634969364, 0.33398483883455593
